time,fcacc,rlvacc,frtjacc,frtmacc,fbracc,rlwacc,crtacc,rleavc,frootcj,frootcm,fbrchc,rlwodc,crootc,strucc(1),strucc(2),metabc(1),metabc(2),som1c(1),som1c(2),som2c(1),som2c(2),som3c,dslit,dsom2c(1),dsom2c(2),dsom3c,dsomtc,dsomsc,nppt,nstemp,natemp,Condition
1993.17,0,0,0,0,0,0,0,0.6762,140.3615,124.0108,753.428,5791.716,1404.046,544.7211,246.5083,64.6883,73.9723,34.6777,64.3754,793.4843,2530.767,2971.931,176.4719,288.2238,186.7943,-13.0884,86.5408,79.7293,0.4103225806,0.4570677419,-1.228225806,N_addition
1993.25,0,0,0,0,0,0,0,0.6762,125.5071,120.933,751.171,5788.825,1403.345,541.1716,248.3952,62.651,78.7868,35.555,65.8997,793.6729,2530.471,2971.954,176.4579,287.9442,186.814,-13.0843,86.6106,79.749,0.4983333333,9.59917,8.529166667,N_addition
1993.33,25.1114,22.6003,2.3856,0.1256,0,0,0,23.2764,117.3196,119.1455,748.9208,5785.925,1402.642,531.3903,247.4363,55.1776,70.8988,37.0652,69.0215,794.2075,2530.187,2972.016,176.6301,287.2421,186.8636,-13.0807,86.5221,79.7962,0.3174193548,10.7023,9.516129032,N_addition
1993.42,134.8453,117.0888,16.8687,0.8878,0,0,0,117.765,121.6226,118.468,746.6774,5783.034,1401.942,519.4484,246.1886,47.0316,63.5848,37.7909,71.0618,794.9152,2530.627,2972.083,176.8696,286.3674,186.9248,-13.0769,86.4414,79.8498,0.471,20.43645333,18.80833333,N_addition
1993.5,241.7724,181.6996,52.7289,2.7752,0.8224,3.0154,0.731,182.3757,139.9434,121.7898,745.2629,5783.164,1401.973,497.6714,243.4104,34.779,49.9103,36.9584,72.2152,796.0683,2531.522,2972.206,177.3319,284.7682,187.0316,-13.0693,86.2525,79.9171,0.405483871,21.51963548,20.24435484,N_addition
1993.58,448.761,181.9933,132.2531,6.9607,22.9597,84.1856,20.4086,182.6694,191.9453,130.4101,765.1335,5861.423,1420.945,476.2137,240.5725,26.3669,40.7045,34.5173,70.5088,796.7029,2531.387,2972.361,177.6915,283.2,187.1108,-13.0594,86.019,79.9156,0.2864516129,21.52054516,20.60483871,N_addition
1993.67,569.4741,182.2129,190.5593,10.0294,33.601,123.2038,29.8676,182.889,215.4054,139.7661,773.4604,5897.497,1429.69,458.3332,240.8002,21.6714,41.6884,32.066,68.7692,796.6677,2531.83,2972.481,177.8632,281.9149,187.1886,-13.052,85.9462,79.9262,0.2093333333,17.06896,16.77666667,N_addition
1993.75,607.9858,182.2129,227.1454,11.955,33.601,123.2038,29.8676,182.889,221.1682,146.0398,771.1434,5894.553,1428.976,446.226,240.5733,19.6624,41.7764,30.3903,67.6744,796.2998,2531.157,2972.594,177.8828,281.0531,187.2105,-13.045,85.8307,79.897,0.9851612903,8.959990323,9.545967742,N_addition
1993.83,615.3668,182.2129,234.1574,12.3241,33.601,123.2038,29.8676,127.9779,207.4669,146.0756,768.8334,5891.601,1428.261,468.8819,240.0671,34.2594,43.0438,28.7,66.8298,795.5305,2531.483,2972.68,173.5557,280.0785,187.2901,-13.0399,85.7949,79.9192,0.3753333333,2.775263333,4.555833333,N_addition
1993.92,615.3668,182.2129,234.1574,12.3241,33.601,123.2038,29.8676,0.6765,189.215,143.3543,766.5302,5888.657,1427.547,548.0513,241.6471,71.8635,49.9639,29.9659,66.7507,795.3281,2531.549,2972.727,166.0032,279.602,187.3183,-13.0376,85.8453,79.9266,0.2661290323,-0.3843387097,-2.928225806,N_addition
